year,Close,ticker
2016,24.037543337272876,NEE
2017,28.307721977689827,NEE
2018,34.09075299297196,NEE
2019,43.97603168184795,NEE
2020,57.70890402511174,NEE
2021,70.69554451533726,NEE
2022,72.50390181218485,NEE
2023,64.14884474182129,NEE
2024,67.91611792549254,NEE
2025,72.47941778564453,NEE
2026,90.11318434792004,NEE
2016,58.14922288836855,XOM
2017,55.38842010498047,XOM
2018,56.24536682979994,XOM
2019,54.15493869781494,XOM
2020,34.60869513198792,XOM
2021,48.663441113063264,XOM
2022,80.79888797471247,XOM
2023,98.9356180114746,XOM
2024,107.0322659810384,XOM
2025,108.57340969848633,XOM
2026,147.67757521004512,XOM
2016,1.5841818166501593,ENPH
2017,1.3905976082224294,ENPH
2018,4.7058167343595585,ENPH
2019,17.57007941177913,ENPH
2020,70.16043520539175,ENPH
2021,176.68638877263146,ENPH
2022,225.26597607373242,ENPH
2023,160.65012033081055,ENPH
2024,105.89317483750601,ENPH
2025,44.444920127868656,ENPH
2026,39.17758625951306,ENPH
2016,40.73860623908765,FSLR
2017,42.99023901038911,FSLR
2018,57.26350603445593,FSLR
2019,57.44837300739591,FSLR
2020,61.48691697554155,FSLR
2021,91.68027771843805,FSLR
2022,101.01171324832507,FSLR
2023,179.96300006103516,FSLR
2024,199.45424579438708,FSLR
2025,187.793760345459,FSLR
2026,214.62137963305943,FSLR
