country_iso3,year,region,income_group,gdp_per_capita_usd,life_expectancy,health_spend_pct_gdp,education_spend_pct_gdp,rd_spend_pct_gdp,wui,wui_volatility
ARE,1995,Middle East,High,27003.2006807782,71.392,2.39504457,3.86019992828369,0.47252,0.0502926,0.06058628871375657
ARE,1996,Middle East,High,28323.1650870532,71.82,2.39504457,3.86019992828369,0.47252,0.0,0.0
ARE,1997,Middle East,High,27982.7957040564,72.559,2.39504457,3.86019992828369,0.47252,0.10440255,0.07627543965871321
ARE,1998,Middle East,High,24889.4269192279,73.66,2.39504457,3.86019992828369,0.47252,0.30301135,0.2344147567626023
ARE,1999,Middle East,High,25855.8605046587,74.982,2.39504457,3.86019992828369,0.47252,0.06680195,0.09664609633922107
ARE,2000,Middle East,High,29865.502347066,76.347,2.39504457,3.86019992828369,0.47252,0.13389485,0.18941039925904282
ARE,2001,Middle East,High,27745.1708087672,77.621,2.48436403,3.86019992828369,0.47252,0.0189394,0.0378788
ARE,2002,Middle East,High,27753.6089526346,78.721,2.71770859,3.86019992828369,0.47252,0.0729235,0.145847
ARE,2003,Middle East,High,29659.5428567811,79.6,2.64634395,3.86019992828369,0.47252,0.04925499999999999,0.06011461915823804
ARE,2004,Middle East,High,33376.7152295209,80.272,2.46225643,3.86019992828369,0.47252,0.056576775,0.046892793180286954
ARE,2005,Middle East,High,38719.3138307623,80.779,2.3202107,3.86019992828369,0.47252,0.020205275,0.04041055
ARE,2006,Middle East,High,44342.6048322482,81.155,2.3254137,3.86019992828369,0.47252,0.14964125,0.10126661212991181
ARE,2007,Middle East,High,45854.7325158162,81.438,2.56602693,3.86019992828369,0.47252,0.0495927,0.0630718643718946
ARE,2008,Middle East,High,50054.1700681803,81.591,2.92857623,3.86019992828369,0.47252,0.10995425,0.0032181661739775495
ARE,2009,Middle East,High,37803.0663738777,81.679,4.05000162,3.86019992828369,0.47252,0.0,0.0
ARE,2010,Middle East,High,44795.2949302268,81.886,3.74433136,3.86019992828369,0.47252,0.10453385,0.1474225432506508
ARE,2011,Middle East,High,51921.904511613,81.898,3.56666398,3.86019992828369,0.47252,0.22902205,0.0598530060896137
ARE,2012,Middle East,High,53141.6124340099,81.913,3.33596373,3.86019992828369,0.54009,0.267484775,0.2079614176081768
ARE,2013,Middle East,High,53247.2409495441,81.95,3.50222182,3.86019992828369,0.60766,0.216008875,0.1287025785598039
ARE,2014,Middle East,High,52725.2358407934,81.99,3.53405499,3.86019992828369,0.67523,0.18339115,0.14597257484273088
ARE,2015,Middle East,High,44910.334995523,82.076,3.46609354,3.86019992828369,0.86569,0.0443066,0.0886132
ARE,2016,Middle East,High,42721.0999383185,82.195,3.89580107,3.86019992828369,0.9318,0.133593925,0.13127802815102954
ARE,2017,Middle East,High,43733.6192287435,82.388,4.00854969,3.86019992828369,1.097845,0.28690035,0.16911264899503128
ARE,2018,Middle East,High,47135.3591943971,82.449,4.09854221,3.86019992828369,1.26389,0.25675427500000003,0.11086575648294578
ARE,2019,Middle East,High,45938.6073581994,82.596,4.40291262,3.86019992828369,1.31065,0.107757525,0.07308878497267894
ARE,2020,Middle East,High,37991.7492971665,81.936,5.82477045,3.98417997360229,1.48831,0.1183699,0.06613231831462335
ARE,2021,Middle East,High,44118.5047192771,79.083,5.30494308,3.89404010772705,1.49469,0.292745475,0.10525430208048109
ARE,2022,Middle East,High,50759.7589231191,80.487,4.56536388,3.89404010772705,1.49469,0.079935075,0.060864149414981285
ARE,2023,Middle East,High,49850.6872175164,82.909,4.97095108,3.89404010772705,1.49469,0.01659255,0.0331851
ARE,2024,Middle East,High,50273.5060469837,83.069,4.97095108,3.89404010772705,1.49469,0.051918775,0.06584681434817102
ARG,1995,Latin America,Upper-middle,7357.6162773788,72.864,8.22001076,3.73198008537292,0.41749,0.42027982500000005,0.08759941358031934
ARG,1996,Latin America,Upper-middle,7663.21271287469,73.056,8.22001076,3.73198008537292,0.41749,0.34809239999999997,0.23602584542018556
ARG,1997,Latin America,Upper-middle,8146.78710021431,73.407,8.22001076,3.8859249353408796,0.41959,0.268500725,0.16936648759961093
ARG,1998,Latin America,Upper-middle,8218.99212764682,73.412,8.22001076,4.03986978530884,0.41131,0.21907715,0.14604790766495082
ARG,1999,Latin America,Upper-middle,7705.54288252851,73.683,8.22001076,4.52167987823486,0.45337,0.46741495,0.294600215214376
ARG,2000,Latin America,Upper-middle,7637.01489203628,73.91,8.22001076,4.58030986785889,0.43884,0.3056731,0.029888264494502402
ARG,2001,Latin America,Upper-middle,7141.47507662826,74.154,8.26966286,4.833740234375,0.4246,0.31203654999999997,0.13651268938714087
ARG,2002,Latin America,Upper-middle,2569.69963519124,74.312,7.33203077,4.01734018325806,0.38886,0.22531335,0.2617515192951832
ARG,2003,Latin America,Upper-middle,3320.47775133903,74.307,6.92670012,3.53504991531372,0.41012,0.1737543,0.10230340816981613
ARG,2004,Latin America,Upper-middle,4242.02099089422,74.871,7.09477043,3.48652005195618,0.40376,0.237159075,0.07507844108439185
ARG,2005,Latin America,Upper-middle,5067.65342293276,75.231,7.73392439,3.86000990867615,0.42075,0.1467231,0.04848598418807921
ARG,2006,Latin America,Upper-middle,5869.38028970204,75.279,7.70940399,4.12821006774902,0.45216,0.169045375,0.1338815359796955
ARG,2007,Latin America,Upper-middle,7185.25155147027,74.783,7.86196613,4.46260976791382,0.46007,0.33425045,0.04628115387761345
ARG,2008,Latin America,Upper-middle,8944.1102657357,75.428,8.24087811,4.84438991546631,0.47055,0.261808475,0.20889847228337782
ARG,2009,Latin America,Upper-middle,8150.23527028221,75.577,9.56852913,5.53105020523071,0.58398,0.70966765,0.3494191547646036
ARG,2010,Latin America,Upper-middle,10260.1313108254,75.68,9.4852438,5.01972007751465,0.56104,0.8548254000000001,0.2110066197443578
