country_iso3,year,wui,wui_volatility
ARE,1995,0.0502926,0.06058628871375657
ARE,1996,0.0,0.0
ARE,1997,0.10440255,0.07627543965871321
ARE,1998,0.30301135,0.2344147567626023
ARE,1999,0.06680195,0.09664609633922107
ARE,2000,0.13389485,0.18941039925904282
ARE,2001,0.0189394,0.0378788
ARE,2002,0.0729235,0.145847
ARE,2003,0.04925499999999999,0.06011461915823804
ARE,2004,0.056576775,0.046892793180286954
ARE,2005,0.020205275,0.04041055
ARE,2006,0.14964125,0.10126661212991181
ARE,2007,0.0495927,0.0630718643718946
ARE,2008,0.10995425,0.0032181661739775495
ARE,2009,0.0,0.0
ARE,2010,0.10453385,0.1474225432506508
ARE,2011,0.22902205,0.0598530060896137
ARE,2012,0.267484775,0.2079614176081768
ARE,2013,0.216008875,0.1287025785598039
ARE,2014,0.18339115,0.14597257484273088
ARE,2015,0.0443066,0.0886132
ARE,2016,0.133593925,0.13127802815102954
ARE,2017,0.28690035,0.16911264899503128
ARE,2018,0.25675427500000003,0.11086575648294578
ARE,2019,0.107757525,0.07308878497267894
ARE,2020,0.1183699,0.06613231831462335
ARE,2021,0.292745475,0.10525430208048109
ARE,2022,0.079935075,0.060864149414981285
ARE,2023,0.01659255,0.0331851
ARE,2024,0.051918775,0.06584681434817102
ARG,1995,0.42027982500000005,0.08759941358031934
ARG,1996,0.34809239999999997,0.23602584542018556
ARG,1997,0.268500725,0.16936648759961093
ARG,1998,0.21907715,0.14604790766495082
ARG,1999,0.46741495,0.294600215214376
ARG,2000,0.3056731,0.029888264494502402
ARG,2001,0.31203654999999997,0.13651268938714087
ARG,2002,0.22531335,0.2617515192951832
ARG,2003,0.1737543,0.10230340816981613
ARG,2004,0.237159075,0.07507844108439185
ARG,2005,0.1467231,0.04848598418807921
ARG,2006,0.169045375,0.1338815359796955
ARG,2007,0.33425045,0.04628115387761345
ARG,2008,0.261808475,0.20889847228337782
ARG,2009,0.70966765,0.3494191547646036
ARG,2010,0.8548254000000001,0.2110066197443578
ARG,2011,0.328666,0.18818760998012948
ARG,2012,0.323742725,0.11369285118767362
ARG,2013,0.3264396,0.21021451263097893
ARG,2014,0.29635517499999997,0.12927507344399058
ARG,2015,0.36072255,0.1503493668020033
ARG,2016,0.15035685,0.11035193850991773
ARG,2017,0.189007825,0.10446186355895229
ARG,2018,0.39958340000000003,0.2621803967768122
ARG,2019,0.414423575,0.16698435765872152
ARG,2020,0.23493134999999998,0.19935725725150646
ARG,2021,0.09622515000000001,0.054327970133777936
ARG,2022,0.16955725,0.0764139828147746
ARG,2023,0.389300475,0.2844444602037613
ARG,2024,0.4696254,0.11737429276989637
AUS,1995,0.0500755,0.06487334104206442
AUS,1996,0.106703125,0.09559187191783532
AUS,1997,0.125325075,0.14790491296959174
AUS,1998,0.03769885,0.0753977
AUS,1999,0.03474485,0.04013766401851674
AUS,2000,0.16145779999999998,0.12098968842395894
AUS,2001,0.087171975,0.06646541588427148
AUS,2002,0.07341065,0.1468213
AUS,2003,0.308238375,0.25028094893370495
AUS,2004,0.031713725,0.036653369352296024
AUS,2005,0.07910982500000001,0.12050948563767018
AUS,2006,0.068764825,0.09780491127792357
AUS,2007,0.01910585,0.0382117
AUS,2008,0.2299376,0.09870012302467848
AUS,2009,0.07698375,0.05186773278037769
AUS,2010,0.17976684999999998,0.09733656597194089
AUS,2011,0.24364802500000002,0.22498503651138485
AUS,2012,0.132407025,0.09404847828573569
AUS,2013,0.034845475,0.040387875802471135
AUS,2014,0.1185409,0.13231417004372586
AUS,2015,0.17426439999999999,0.08664888350906008
AUS,2016,0.2490718,0.1382916894646722
AUS,2017,0.307399925,0.09569044315859952
AUS,2018,0.172188025,0.07198987006407569
AUS,2019,0.21579435,0.17715518524484875
AUS,2020,0.3143915,0.12456461632919681
AUS,2021,0.254914725,0.09881708288237667
AUS,2022,0.193811375,0.09643551462918543
AUS,2023,0.074134325,0.060359228366581745
AUS,2024,0.0179856,0.0359712
AUT,1995,0.0874627,0.078296847019234
AUT,1996,0.046464575,0.03182052614465229
AUT,1997,0.048946025,0.06288344679974081
AUT,1998,0.068683525,0.09867096282146959
AUT,1999,0.077466125,0.09277087271909486
AUT,2000,0.088631075,0.12731589988128938
AUT,2001,0.11391979999999999,0.13373428993789635
AUT,2002,0.049258449999999995,0.06448972109189184
AUT,2003,0.18127690000000002,0.08166821564309255
AUT,2004,0.062682975,0.04882329383974928
AUT,2005,0.1003279,0.10070202310811172
AUT,2006,0.1034847,0.0874239179396958
AUT,2007,0.054394750000000006,0.03815278561525139
AUT,2008,0.061649949999999995,0.0711889189422764
AUT,2009,0.02519145,0.0503829
AUT,2010,0.0546165,0.06358454379333603
AUT,2011,0.025807775,0.05161555
AUT,2012,0.3490126,0.22000961997506682
AUT,2013,0.371836275,0.14962067132087453
AUT,2014,0.15865705,0.05593275334128177
AUT,2015,0.348447475,0.17887645601411375
AUT,2016,0.39690499999999995,0.18236919873450852
AUT,2017,0.217711025,0.12333945971473405
AUT,2018,0.099109475,0.10436873926469792
AUT,2019,0.285728225,0.1593381198448418
AUT,2020,0.33449487499999997,0.13173109992484372
AUT,2021,0.09130680000000001,0.039973195341962184
AUT,2022,0.27352675,0.04485066006102922
AUT,2023,0.3306228,0.12400937602474527
AUT,2024,0.2842401,0.03663567364259414
BEL,1995,0.178919025,0.20712193238372698
BEL,1996,0.02607155,0.0521431
BEL,1997,0.101389075,0.08175401878510825
BEL,1998,0.1652609,0.1628350006425932
BEL,1999,0.058132575,0.06989772729583202
BEL,2000,0.03091955,0.0618391
BEL,2001,0.10539404999999999,0.08758382175670344
BEL,2002,0.07606927499999999,0.08883936814751199
BEL,2003,0.053807499999999994,0.06919128116918585
BEL,2004,0.106143825,0.09222693409535615
BEL,2005,0.086970625,0.1075372256166324
BEL,2006,0.071414225,0.05758337283952576
BEL,2007,0.06176935,0.04128304115901185
BEL,2008,0.03051385,0.0610277
BEL,2009,0.059061749999999996,0.06820091921088747
BEL,2010,0.0834214,0.05578539077912783
BEL,2011,0.2129748,0.08887085403876796
BEL,2012,0.208850125,0.10104290476645306
BEL,2013,0.211979175,0.08735422908286983
BEL,2014,0.23775575,0.23699447872410442
BEL,2015,0.121057425,0.12143116790095189
BEL,2016,0.13260339999999998,0.14065100743329212
BEL,2017,0.0776413,0.10805852345721433
BEL,2018,0.09215809999999999,0.08331491253191112
BEL,2019,0.24038395,0.1391301433135298
BEL,2020,0.356981725,0.17763503604492697
BEL,2021,0.12017955,0.05566972637322732
BEL,2022,0.360305475,0.08000966407655077
BEL,2023,0.2279956,0.11095224682276605
BEL,2024,0.259863625,0.15017975494354258
BRA,1995,0.06071295,0.08418894121029198
BRA,1996,0.21991145,0.10759050224465291
BRA,1997,0.09388327499999999,0.09087852419163268
BRA,1998,0.2751327,0.1346034056186296
BRA,1999,0.296813275,0.15840866564613557
BRA,2000,0.162289275,0.1167286931521802
BRA,2001,0.373970075,0.1743923283305466
BRA,2002,0.3490374,0.310313900145847
BRA,2003,0.117342325,0.10827746525432935
BRA,2004,0.2683731,0.09259977258658178
BRA,2005,0.253420525,0.16914218171679066
BRA,2006,0.230186075,0.03242434705684142
