country_iso3,year,education_spend_pct_gdp,gdp_per_capita_usd,govt_effectiveness,health_spend_pct_gdp,life_expectancy,rd_spend_pct_gdp,researchers_per_million,researchers_per_million_imputed,govt_effectiveness_imputed
ARE,1995,,27003.2006807782,0.776639640331268,,71.392,,2168.42732,True,True
ARE,1996,,28323.1650870532,0.776639640331268,,71.82,,2168.42732,True,False
ARE,1997,,27982.7957040564,0.776639640331268,,72.559,,2168.42732,True,True
ARE,1998,,24889.4269192279,0.752557337284088,,73.66,,2168.42732,True,False
ARE,1999,,25855.8605046587,0.752557337284088,,74.982,,2168.42732,True,True
ARE,2000,,29865.502347066,0.747685492038727,2.39504457,76.347,,2168.42732,True,False
ARE,2001,,27745.1708087672,0.747685492038727,2.48436403,77.621,,2168.42732,True,True
ARE,2002,,27753.6089526346,0.796371579170227,2.71770859,78.721,,2168.42732,True,False
ARE,2003,,29659.5428567811,0.537254989147186,2.64634395,79.6,,2168.42732,True,False
ARE,2004,,33376.7152295209,0.687684059143066,2.46225643,80.272,,2168.42732,True,False
ARE,2005,,38719.3138307623,0.716674387454987,2.3202107,80.779,,2168.42732,True,False
ARE,2006,,44342.6048322482,0.945923328399658,2.3254137,81.155,,2168.42732,True,False
ARE,2007,,45854.7325158162,0.943043947219849,2.56602693,81.438,,2168.42732,True,False
ARE,2008,,50054.1700681803,0.898490905761719,2.92857623,81.591,,2168.42732,True,False
ARE,2009,,37803.0663738777,1.00920045375824,4.05000162,81.679,,2168.42732,True,False
ARE,2010,,44795.2949302268,0.918635427951813,3.74433136,81.886,,2168.42732,True,False
ARE,2011,,51921.904511613,1.07076179981232,3.56666398,81.898,0.47252,2168.42732,True,False
ARE,2012,,53141.6124340099,1.16282367706299,3.33596373,81.913,,2168.42732,True,False
ARE,2013,,53247.2409495441,1.19010066986084,3.50222182,81.95,,2168.42732,True,False
ARE,2014,,52725.2358407934,1.45158290863037,3.53405499,81.99,0.67523,2168.42732,True,False
ARE,2015,,44910.334995523,1.5004917383194,3.46609354,82.076,0.86569,2168.42732,False,False
ARE,2016,,42721.0999383185,1.4101870059967,3.89580107,82.195,0.9318,2509.55341,False,False
ARE,2017,,43733.6192287435,1.40890324115753,4.00854969,82.388,,2509.55341,True,False
ARE,2018,,47135.3591943971,1.42633962631226,4.09854221,82.449,1.26389,2464.56964,False,False
ARE,2019,3.86019992828369,45938.6073581994,1.38027024269104,4.40291262,82.596,1.31065,2476.63113,False,False
ARE,2020,3.98417997360229,37991.7492971665,1.2852668762207,5.82477045,81.936,1.48831,2581.47405,False,False
ARE,2021,3.89404010772705,44118.5047192771,1.36370348930359,5.30494308,79.083,1.49469,2606.78477,False,False
ARE,2022,,50759.7589231191,1.29912793636322,4.56536388,80.487,,2606.78477,True,False
ARE,2023,,49850.6872175164,1.60428190231323,4.97095108,82.909,,2606.78477,True,False
ARE,2024,,50273.5060469837,1.60428190231323,,83.069,,2606.78477,True,True
ARG,1995,,7357.6162773788,0.165690049529076,,72.864,,694.1551,True,True
ARG,1996,3.73198008537292,7663.21271287469,0.165690049529076,,73.056,0.41749,694.1551,True,False
ARG,1997,,8146.78710021431,0.165690049529076,,73.407,0.41959,694.1551,False,True
ARG,1998,4.03986978530884,8218.99212764682,0.328712493181229,,73.412,0.41131,702.90202,False,False
ARG,1999,4.52167987823486,7705.54288252851,0.328712493181229,,73.683,0.45337,710.82614,False,True
ARG,2000,4.58030986785889,7637.01489203628,-0.0280386935919523,8.22001076,73.91,0.43884,713.92711,False,False
ARG,2001,4.833740234375,7141.47507662826,-0.0280386935919523,8.26966286,74.154,0.4246,685.59721,False,True
ARG,2002,4.01734018325806,2569.69963519124,-0.228479072451591,7.33203077,74.312,0.38886,689.51093,False,False
ARG,2003,3.53504991531372,3320.47775133903,-0.0342199839651585,6.92670012,74.307,0.41012,715.84326,False,False
ARG,2004,3.48652005195618,4242.02099089422,0.015197392553091,7.09477043,74.871,0.40376,763.13901,False,False
ARG,2005,3.86000990867615,5067.65342293276,-0.0979790613055229,7.73392439,75.231,0.42075,816.8412,False,False
ARG,2006,4.12821006774902,5869.38028970204,-0.0339163094758987,7.70940399,75.279,0.45216,888.89168,False,False
ARG,2007,4.46260976791382,7185.25155147027,-0.0125325033441186,7.86196613,74.783,0.46007,971.29008,False,False
ARG,2008,4.84438991546631,8944.1102657357,-0.123509347438812,8.24087811,75.428,0.47055,1032.67483,False,False
ARG,2009,5.53105020523071,8150.23527028221,-0.294032037258148,9.56852913,75.577,0.58398,1031.64133,False,False
ARG,2010,5.01972007751465,10260.1313108254,-0.1117919459939,9.4852438,75.68,0.56104,1119.05035,False,False
ARG,2011,5.29063987731934,12704.2831819684,-0.0723610669374466,9.51042366,76.1,0.56597,1175.37229,False,False
ARG,2012,5.3458399772644,12949.717486654,-0.206967011094093,9.8851881,75.802,0.63491,1197.6554,False,False
ARG,2013,5.43660020828247,12963.675773326,-0.254236966371536,9.92091465,75.829,0.61849,1193.37333,False,False
ARG,2014,5.36144018173218,12233.1444119186,-0.111114293336868,9.79773045,76.268,0.59396,1202.47388,False,False
ARG,2015,5.77611017227173,13679.6264980954,-0.0494756102561951,10.27364159,76.6,0.62262,1225.50983,False,False
ARG,2016,5.54548978805542,12699.9623137756,0.218796372413635,10.05355549,76.105,0.55815,1254.06674,False,False
ARG,2017,5.45432996749878,14532.5009308511,0.135085612535477,10.26057911,76.543,0.55632,1206.01905,False,False
ARG,2018,4.87773990631104,11752.7998922979,0.0280606187880039,10.17289257,76.77,0.4883,1220.93622,False,False
ARG,2019,4.77165985107422,9955.97478680428,-0.120795331895351,10.11911297,76.847,0.47813,1224.69939,False,False
ARG,2020,5.27689981460571,8535.59938004389,-0.254261821508408,10.67246342,75.878,0.54126,1250.48347,False,False
ARG,2021,4.65393018722534,10738.0179223384,-0.390557259321213,11.00910187,73.948,0.5236,1288.13477,False,False
ARG,2022,4.79263019561768,13962.1894087223,-0.28348970413208,10.15950489,75.806,0.54951,1301.43112,False,False
ARG,2023,5.00324010848999,14261.8465667948,-0.377517342567444,10.2695179,77.395,0.60111,1312.75278,False,False
ARG,2024,,13969.7836603737,-0.377517342567444,,77.543,,1312.75278,True,True
AUS,1995,,20479.1748274233,1.8005645275116,,77.8292682926829,,3353.7053,True,True
AUS,1996,,22055.838490507,1.8005645275116,,78.0780487804878,1.66218,3353.7053,False,False
AUS,1997,,23683.4948964934,1.8005645275116,,78.4804878048781,,3353.7053,True,True
AUS,1998,,21516.0403147759,1.61811804771423,,78.6317073170732,1.51351,3379.7753,False,False
AUS,1999,,20749.6443779096,1.61811804771423,,78.9317073170732,,3379.7753,True,True
AUS,2000,,21908.9968019784,1.73217022418976,7.58869076,79.2341463414634,1.57198,3470.70203,False,False
AUS,2001,,19733.6510102645,1.73217022418976,7.67391729,79.6341463414634,,3470.70203,True,True
AUS,2002,,20335.0960191023,1.65919864177704,7.87221003,79.9365853658537,1.74654,3755.80266,False,False
AUS,2003,,23757.5898471684,1.77327883243561,7.87659502,80.2390243902439,,3755.80266,True,False
AUS,2004,,30886.0500949401,1.98494184017181,8.08257675,80.490243902439,1.84802,4073.65927,False,False
AUS,2005,,34535.20727091,1.74618124961853,7.9648633,80.8414634146341,,4073.65927,True,False
AUS,2006,,36658.8243476122,1.70789933204651,7.97161102,81.0414634146342,2.17862,4269.01789,False,False
AUS,2007,,41128.2476618402,1.81895518302917,8.0517149,81.2926829268293,,4269.01789,True,False
AUS,2008,,49811.2067218988,1.78476786613464,8.24737453,81.3951219512195,2.39898,4379.63519,False,False
AUS,2009,,42954.8494884573,1.70196378231049,8.54273987,81.5439024390244,,4379.63519,True,False
AUS,2010,,52313.8939041213,1.76339137554169,8.4193306,81.6951219512195,2.3702,4568.56658,False,False
AUS,2011,,62799.3895017032,1.69013810157776,8.53425312,81.8951219512195,2.23459,4568.56658,True,False
AUS,2012,,68301.4402512587,1.61314845085144,8.67020702,82.0463414634146,,4568.56658,True,False
AUS,2013,,68476.6788496118,1.632453083992,8.7465601,82.1487804878049,2.17733,4568.56658,True,False
AUS,2014,,62817.2061751737,1.60089492797852,9.82833862,82.3,,4568.56658,True,False
AUS,2015,,56970.3613028094,1.53325247764587,10.13642025,82.4,1.91969,4568.56658,True,False
AUS,2016,,50084.4440606385,1.53218841552734,10.08958244,82.4487804878049,,4568.56658,True,False
AUS,2017,,54117.547718609,1.49838602542877,10.10880566,82.5,1.88102,4568.56658,True,False
